KBA-Referenznummer;Rckrufcode des Herstellers;Verffentlichungsdatum;Marke;Modell;Mangelbezeichnung;Produktionszeitraum von;Produktionszeitraum bis;Rckrufseite des Herstellers;Mangelbeschreibung;Titel der Manahme;Beschreibung der Manahme;Mgliche Eingrenzung der betroffenen Modelle;Bekannte Vorflle mit Sach- und/oder Personenschden;Anzahl potentiell betroffene Fahrzeugteile weltweit;Anzahl potentiell betroffene Fahrzeugteile
13631;0061360800;45357;BMW;I5, I4;Mangelhafte Zellkontaktierung kann zu Fehlfunktionen in der HV-Batterie führen. Eine Entladung und eine Brandgefahr können nicht ausgeschlossen werden.;2023;2024;N/A;Mangelhafte Zellkontaktierung kann zu Fehlfunktionen in der HV-Batterie führen. Eine Entladung und eine Brandgefahr können nicht ausgeschlossen werden.;N/A;Bei den betroffenen Fahrzeugen werden die HV-Zellmodule ersetzt.;N/A;keine bekannt;14;2
13893R;19B;45796;DODGE;CHARGER;unmotivierte Airbagauslösung;43286;44336;nicht vorhanden;Der Kopfairbag-Gasgenerator kann auf Grund Korrosion und zyklischer Belastung (Hitze) brechen und das Druckgas entweichen.;N/A;Austausch der Seitenairbags.;N/A;nicht bekannt;242523;496
14010R;H506;45467;JAGUAR;F-PACE;Brandgefahr, Ölverlust in den Verkehrsraum;45188;45308;N/A;Risse im Kunststoffgehäuse des Ölfilters können zum Ölaustritt führen. Es besteht Brandgefahr und/oder die Gefahr eines Ölverlustes in den Verkehrsraum.;N/A;Austausch des Ölfiltergehäuses und des Ölfilterelements.;N/A;nicht bekannt;209;30
14245R;41D091 (Teil 1);45603;HYUNDAI;IX35, GRAND SANTA FE, VELOSTER;Brandgefahr;40851;41943;https://www.hyundai.de;Kurzschluss in der ESP-Einheit kann zum Brand führen.;N/A;Es wird eine überarbeitete Sicherung verbaut.;N/A;Keine bekannt.;76065;3268
12269;ANB6;44883;PORSCHE;911;Nicht korrekt befestigter Gurtendbeschlag kann im Falle eines Unfalls zum Lösen der Verbindung und zu einer eingeschränkten Schutzwirkung führen.;2021;2022;N/A;Nicht korrekt befestigter Gurtendbeschlag kann im Falle eines Unfalls zum Lösen der Verbindung und zu einer eingeschränkten Schutzwirkung führen.;N/A;Die Verschraubung für Gurtendbeschlag am Fahrersitz sowie Beifahrersitz wird geprüft und ggf. wird das Sitzgestell ausgetauscht.;N/A;N/A;97;25
12278;40S5;44869;VW;CADDY;Durch einen Fertigungsfehler fehlen fünf von sechs Schweißnähten an der Querlenkerhülse. In der Folge besteht die Gefahr, dass der Querlenker bricht.;2021;2022;N/A;Durch einen Fertigungsfehler fehlen fünf von sechs Schweißnähten an der Querlenkerhülse. In der Folge besteht die Gefahr, dass der Querlenker bricht.;N/A;An den betroffenen Fahrzeugen werden die beidenvorderen Querlenker geprüft und falls erforderlich ersetzt.;N/A;N/A;6112;2016
13658;8394101;45384;MERCEDES-BENZ;G-KLASSE, AMG G 63;Verwendung eines nicht vorschriftenkonformen Klimaanlagenkältemittels.;2022;2023;N/A;Verwendung eines nicht vorschriftenkonformen Klimaanlagenkältemittels.;N/A;Austausch des Klimaanlagenkältemittels.;N/A;Keine bekannt.;18;1
13940R;MQY;45449;PEUGEOT;RIFTER, PARTNER, 2008;Verminderte Bremsleistung.;45180;45313;nicht vorhanden;Verlust des hydraulischen Bremsausgleichs führt zu verminderter Bremsleistung.;N/A;Die Kalibrierung des Motorsteuergeräts (ECU) wird aktualisiert.;N/A;nicht bekannt;5076;292
13941R;MP2;45449;CITROEN;BERLINGO;Verminderte Bremsleistung.;45181;45313;nicht vorhanden;Verlust des hydraulischen Bremsausgleichs führt zu verminderter Bremsleistung.;N/A;Die Kalibrierung des Motorsteuergeräts (ECU) wird aktualisiert.;N/A;Keine bekannt.;1308;143
13976R;ML6;45462;CITROEN;C5 AIRCROSS;Brandgefahr;43850;44300;https://www.citroen.de/wartung-services/rueckrufaktion-pruefung.html;Die bereits aktualisierte Software des Batteriemanagement-Steuergerätes kann bestimmte Defekte nicht erkennen. Im schlimmsten Fall besteht Brandgefahr.;N/A;Austausch der Hochvoltbatterie.;N/A;nicht bekannt;940;78
13990R;5497603;45475;MERCEDES-BENZ;C-KLASSE;Verschraubung Vorsicherungsdose;44249;44862;N/A;Aufgrund einer fehlerhaften Verschraubung an einer Vorsicherungsdose kann es zu erhöhten Temperaturen und in der Folge zu einer erhöhten Brandgefahr kommen. Gleichzeitig kann das Fahrzeug seinen Antrieb verlieren.;N/A;Die Verschraubung des Leitungsatzes an der Vorsicherungsdose wird überprüft und ggf. notwendige Reparaturmaßnahmen werden durchgeführt.;N/A;Keine bekannt.;2826;391
14254R;7979TW, 8062TW;45595;MAN;SKYLINER, TGX, TGS, TOURLINER, CITYLINER, LIONS COACH;Motorausfall/Brandgefahr;42644;43738;N/A;Aufgrund von überaltertem oder verunreinigtem Motoröl kann es zum Motorausfall und ggf. zum Brand kommen.;N/A;Austausch der geschädigten Ölfilterbauteile/des Ölfilterdeckels, Verkürzung der Ölwechselintervalle.;N/A;N/A;37565;12693
13379;R10254;45271;VOLVO;S60;Aufgrund eines fehlerhaft verschraubten Beifahrerairbags kann es zu erhöhter Verletzungsgefahr bei Unfalleintritt kommen.;2018;2023;N/A;Aufgrund eines fehlerhaft verschraubten Beifahrerairbags kann es zu erhöhter Verletzungsgefahr bei Unfalleintritt kommen.;N/A;Die Schraubverbindungen müssen überprüft werden, um sicherzustellen, dass alle Schrauben mit dem richtigen Anzugsdrehmoment angezogen sind.;N/A;keine bekannt;526;26
13998R;47UP;45491;AUDI;E-TRON GT, RS E-TRON GT;Versagen vordere Bremsschläuche;43839;45455;N/A;Es kann zu einem Versagen der vorderen Bremsschläuche und in der Folge dem Ausfall des vorderen Bremskreises kommen.;N/A;Die Bremsschläuche der Vorderachse werden durch neue, optimierte Bremsschläuche und Halter ersetzt.;N/A;Keine bekannt.;35370;7176
13260;48S9;45231;VW;ID.4;Fehlerhafte Verschraubung kann zu einem Schraubenkopfabriss am oberen Kreuzgelenk der Lenksäule führen. In der Folge kann es zu einer Beeinträchtigung der Lenkbarkeit des Fahrzeugs kommen und die Unfallgefahr ist erhöht.;2023;2023;N/A;Fehlerhafte Verschraubung kann zu einem Schraubenkopfabriss am oberen Kreuzgelenk der Lenksäule führen. In der Folge kann es zu einer Beeinträchtigung der Lenkbarkeit des Fahrzeugs kommen und die Unfallgefahr ist erhöht.;N/A;Klemmschraube des oberen Kreuzgelenks an der Lenksäule wird ersetzt.;N/A;keine;11;7
12763;0061710700, 0061720700;45056;BMW;IX, IX1, I3, IX3, I4, I7;Fehlerhafte Steckverbindungen an den Kabelbrücken der Zellüberwachungselektronik kann zu Kommunikationsfehlern und in der Folge zum Abschalten der HV-Batterie führen.;2021;2023;N/A;Fehlerhafte Steckverbindungen an den Kabelbrücken der Zellüberwachungselektronik kann zu Kommunikationsfehlern und in der Folge zum Abschalten der HV-Batterie führen.;N/A;Austausch der Zellüberwachungselektronik.;G08 G26 G28 G70 U11 (nur BEV) I20, Elektrofahrzeuge;keine;319;25
14032R;R24A2;45490;NISSAN;ARIYA;Motornotlauf;44693;45098;N/A;Beschädigung der O-Ringe im Motor während des Montageprozesses können zu einer Ölleckage führen. Dies kann zum Leistungsverlust und zum Umschalten in das Notlaufprogramm mit Fehleranzeige führen. Ggf. kann das Fahrzeug nicht erneut gestartet werden.;N/A;Der komplette Motor wird getauscht.;N/A;Keine bekannt.;485;54
14119R;C0390;45541;VOLVO TRUCKS;FHE, FME, FH, FM;Fehlerhafte Hands-Off-Detection;45348;45464;N/A;Fehlerhafte Software führt dazu, dass die Hands-Off-Detection keine Warnmeldungen ausgibt.;N/A;Der Parameter in der Software wird per Aktualisierung mit der entsprechenden Software auf den korrekten Wert eingestellt.;N/A;Keine bekannt.;2530;200
12769;KES;45076;OPEL;GRANDLAND X;Fehler in den Zellen der Antriebsbatterie können zu Überhitzung, Rauchentwicklung und ggf. Brand führen.;2019;2022;N/A;Fehler in den Zellen der Antriebsbatterie können zu Überhitzung, Rauchentwicklung und ggf. Brand führen.;N/A;Das Steuergerät der Antriebsbatterie wird mit einer verbesserten Software zur Batterieüberwachung ferngeladen. Wenn eine Nicht-Konformität der Antriebsbatterie festgestellt wird, wird diese ausgetauscht.;N/A;Keine;5178;2136
14250R;N903;45616;LAND ROVER;RANGE RIVER, RANGE ROVER SPORT;Antriebsverlust;45174;45336;N/A;Nicht der Spezifikation entsprechende Kupplungsscheiben im Hybridgetriebe können das Getriebeöl verunreinigen und zu einer Blockade des Hydrauliksystems führen, sodass der Antrieb verloren geht.;N/A;Das Automatikgetriebe wird überprüft und bei Bedarf ersetzt.;PHEV-Fahrzeuge;Keine bekannt.;424;11
12126;CLAAS 2022-01;44838;CLAAS;ARION 400;Die Sperrklinke des Feststellbremshebels kann ggf. nicht einrasten oder sich lösen, sodass ein Feststellen der Bremse im Falle eines Defektes nicht möglich ist.;2021;2022;N/A;Die Sperrklinke des Feststellbremshebels kann ggf. nicht einrasten oder sich lösen, sodass ein Feststellen der Bremse im Falle eines Defektes nicht möglich ist.;N/A;Austausch der betroffenen Sperrklinke;N/A;N/A;2346;506
12127;20DS;44859;AUDI;Q3;Beschädigung der Tankentlüftungsleitung kann zum Kraftstoffaustritt führen.;2020;2022;N/A;Beschädigung der Tankentlüftungsleitung kann zum Kraftstoffaustritt führen.;N/A;Die Entlüftungsleitung wird durch einen gezielten Druckaufbau im Kraftstoffbehälter auf Dichtheit geprüft. Im Fehlerfall müssen der Kraftstofftank und der damit verbundene Aktivkohlebehälter ersetzt werden.;auch Q3 Sportback;keine;16797;1
12442;22SMD-125;44979;TOYOTA;GR86;E-Call-System wurde vor Auslieferung nicht aktiviert.;2022;2022;N/A;E-Call-System wurde vor Auslieferung nicht aktiviert.;N/A;Aktivierungsstatus des DCM überprüfen und gegebenenfalls aktivieren.;N/A;keine bekannt;870;136
13470;6696;45295;FIAT;DOBLO;Auf Grund fehlerhafter Motorsteuergerätesoftware wird der Wert für zu geringen UREA-Verbrauch falsch bewertet.;2023;2023;N/A;Auf Grund fehlerhafter Motorsteuergerätesoftware wird der Wert für zu geringen UREA-Verbrauch falsch bewertet.;N/A;Aktualisierung der Software des Motorsteuergerätes.;N/A;N/A;30;0
13105;Z50;45203;JEEP;GRAND CHEROKEE;Rückleuchte/Seitenmarkierungsleuchte ohne Funktion.;2020;2021;N/A;Rückleuchte/Seitenmarkierungsleuchte ohne Funktion.;N/A;Beide Rückleuchten mit dem Luxmeter auf korrekte Ausleuchtung prüfen und ggf. austauschen.;auch Elektrofahrzeuge.;Keine;104371;95
12955;5491110, 5491109, 5491108;45131;MERCEDES-BENZ;C-KLASSE AMG, C-KLASSE;Antriebsausfall/Brandgefahr;2021;2023;N/A;Aufgrund einer unzureichenden Verschraubung der 12V und 48V Massestellen kann es zu einem Ausfall des elektrischen Antriebs kommen. Im schlimmsten Fall kann eine Wärmeentwicklung mit Brandfolge nicht ausgeschlossen werden.;N/A;Es werden die Masseverschraubungen überprüft und ggf. Reparaturen vorgenommen.;N/A;keine bekannt;6370;804
12169;Z68;44826;DODGE;CHARGER, CHALLENGER;Die Batterien in den Reifendrucksensoren können vorzeitig verschleißen. In der Folge müsste diese Ersetzt werden.;2021;2022;N/A;Die Batterien in den Reifendrucksensoren können vorzeitig verschleißen. In der Folge müsste diese Ersetzt werden.;N/A;Die Reifendrucksensoren müssen überprüft und ggf. ausgetauscht werden.;N/A;N/A;48501;153
12466;22S78;44979;FORD;TOURNEO COURIER;Montagefehler kann zum intermittierenden Ausfall der Airbags, der Hupe und der Lenkradschalterbeleuchtung führen.;2022;2022;N/A;Montagefehler kann zum intermittierenden Ausfall der Airbags, der Hupe und der Lenkradschalterbeleuchtung führen.;N/A;Kontrolle des Fahrzeugs und ggf. Austausch der beschädigten Teile;N/A;keine;11648;413
12686;PN2C7;45254;NISSAN;NV400;Die Einspritzdüsen wurden nicht mit dem korrekten Drehmoment angezogen. Dies kann zum Austritt von Abgasen am Dichtring im Einspritzdüsenschacht führen.;2021;2022;N/A;Die Einspritzdüsen wurden nicht mit dem korrekten Drehmoment angezogen. Dies kann zum Austritt von Abgasen am Dichtring im Einspritzdüsenschacht führen.;N/A;Die betroffenen Einspritzdüsen werden ausgebaut und mit neuen Dichtungsscheiben, Halterungen und Schrauben ausgestattet. Es wird sichergestellt, dass das richtige Drehmoment verwendet wird.;"Die Modell-Bezeichnung NV400 wurde im Jahr 2022 in ""Interstar"" umgetauft.";Keine;119;11
12956;9290014;45118;MERCEDES-BENZ;EQS;Nicht der Spezifikation entsprechende Verschraubung der hinteren Gurtschlösser kann zu eingeschränkter Schutzwirkung führen.;2021;2023;N/A;Nicht der Spezifikation entsprechende Verschraubung der hinteren Gurtschlösser kann zu eingeschränkter Schutzwirkung führen.;N/A;Die Verschraubung der Fondgurtschlösser wird überprüft und ggf. nachgearbeitet.;EQS 350, EQS 450 4MATIC, EQS 450+, EQS 580 4MATIC, Mercedes-AMG EQS 53 4MATIC+;keine bekannt;35;7
10525;20S76;44228;FORD;FIESTA, PUMA;Der Masseanschluss der Fahrbatterie kann sich lockern, wodurch erhöhte Brandgefahr besteht.;2020;2020;N/A;Der Masseanschluss der Fahrbatterie kann sich lockern, wodurch erhöhte Brandgefahr besteht.;N/A;Der Masseanschluss wird geprüft und ggf. mit dem richtigen Anzugsdrehmoment festgezogen.;mHEV-Fahrzeuge;-;288;42
12555;5499024;44977;MERCEDES-BENZ;B-KLASSE, A-KLASSE, CLA, GLA;Unzulässige Abschalteinrichtung bzw. unzulässige Reduzierung der Wirksamkeit des Emissionskontrollsystems.;2014;2017;N/A;Unzulässige Abschalteinrichtung bzw. unzulässige Reduzierung der Wirksamkeit des Emissionskontrollsystems.;N/A;Software-Update.;mit Motor OM607 Euro 6;N/A;19426;1809
12509;22S71;45000;FORD;F-150;Ausfall des Scheibenwischermotors.;2020;2022;N/A;Ausfall des Scheibenwischermotors.;N/A;Austausch des Wischermotors.;F-150 Raptor mit verbautem Wischermotor / Teilenummer ML34-17504-xx aus dem Bauzeitraum: 08.01.2020 bis 08.08.2022;N/A;575807;186
12360;KONS-FHS;44936;MERCEDES-BENZ;AROCS, ACTROS;Fehlerhafte Schweißnaht kann die Fahrerhausstruktur schwächen und das Verletzungsrisiko im Falle eines Unfalls erhöhen.;2022;2022;N/A;Fehlerhafte Schweißnaht kann die Fahrerhausstruktur schwächen und das Verletzungsrisiko im Falle eines Unfalls erhöhen.;N/A;Die betroffenen Fahrzeuge werden dahingehend überprüft, ob eine betroffene Konsole verbaut ist. Gegebenenfalls wird das Fahrerhaus an der entsprechenden Stelle repariert.;N/A;ncht bekannt;8;1
11246;R10125;44641;VOLVO;S60, S80;Bei Auslösung des Fahrerairbags kann es dazu kommen, dass der Fahrer von Fragmenten des Gasgenerators verletzt wird.;2000;2009;N/A;Bei Auslösung des Fahrerairbags kann es dazu kommen, dass der Fahrer von Fragmenten des Gasgenerators verletzt wird.;N/A;Überprüfung und ggf. Austausch des Airbagmoduls;keine;keine;336893;142
11873;VS3HADREH (3292018), VS3HADRES (3292019);44715;MERCEDES-BENZ;SPRINTER;Verbau des falschen Drehstabes an der Hinterachse sowie fehlerhafte Codierung ESP können zu eingeschränkter Seitenstabilität führen.;2020;2022;N/A;Verbau des falschen Drehstabes an der Hinterachse sowie fehlerhafte Codierung ESP können zu eingeschränkter Seitenstabilität führen.;N/A;Der hintere Drehstab wird ersetzt und ggf. wird bei einigen Fahrzeugen die Codierung im Steuergerät ESP angepasst.;Allradantrieb;nicht bekannt;1436;1003
12684;4092214;45035;MERCEDES-BENZ;CLA;Nicht der Spezifikation entsprechende Reifen können schlagartig Luftdruck verlieren, wodurch die Fahrstabilität beeinträchtigt sein kann. Es besteht eine erhöhte Unfallgefahr durch Kontrollverlust.;2022;2022;N/A;Nicht der Spezifikation entsprechende Reifen können schlagartig Luftdruck verlieren, wodurch die Fahrstabilität beeinträchtigt sein kann. Es besteht eine erhöhte Unfallgefahr durch Kontrollverlust.;N/A;Austausch der Reifen.;N/A;Keine;125;29
11262;0DPP;44489;DACIA;SANDERO;Aufgrund einer fehlerhaften Kraftstoffleitung kann es zu Kraftstoffverlust und in der Folge erhöhter Brandgefahr kommen.;2020;2021;N/A;Aufgrund einer fehlerhaften Kraftstoffleitung kann es zu Kraftstoffverlust und in der Folge erhöhter Brandgefahr kommen.;N/A;Austausch der betroffenen Kraftstoffleitung;keine;keine bekannt;20600;1413
11268;72.25M21180A;44519;EVOBUS;CITARO;Die eingebauten Türdichtungen entsprechen, hinsichtlich dem Brennverhalten, nicht der aktuellen ECE-R 118. In der Folge besteht eine erhöhte Verletzungsgefahr bei einem Fahrzeugbrand.;2020;2021;N/A;Die eingebauten Türdichtungen entsprechen, hinsichtlich dem Brennverhalten, nicht der aktuellen ECE-R 118. In der Folge besteht eine erhöhte Verletzungsgefahr bei einem Fahrzeugbrand.;N/A;Austausch der betroffenen Türdichtungen.;N/A;N/A;49;43
12543;0061460700;44980;BMW;7, I7;Softwarefehler kann zum Verlust der Initialisierung des Airbagsteuergeräts führen. Dadurch würden die Beifahrer-Front- und Knieairbags sowie die aktive Kopfstütze deaktiviert werden.;2022;2023;N/A;Softwarefehler kann zum Verlust der Initialisierung des Airbagsteuergeräts führen. Dadurch würden die Beifahrer-Front- und Knieairbags sowie die aktive Kopfstütze deaktiviert werden.;N/A;Die Steuergeräte (Sitzmodul) werden programmiert.;N/A;N/A;6074;580
12544;L636-R.02.23;45013;LAMBORGHINI;URUS;Fehlerhafte Masseangaben auf dem Typschild.;2022;2023;N/A;Fehlerhafte Masseangaben auf dem Typschild.;N/A;Austausch des Typschildes.;keine bekannt.;keine;161;33
13002;R10245;45141;POLESTAR;POLESTAR 2;Fehlerhaft angebrachtes Lager der Vorderradaufhängung kann zum Lösen des Querlenkers führen. Dies kann die Manövriereigenschaften des Fahrzeugs beeinträchtigen und im schlimmsten Fall zu einem Kontrollverlust führen.;2022;2022;N/A;Fehlerhaft angebrachtes Lager der Vorderradaufhängung kann zum Lösen des Querlenkers führen. Dies kann die Manövriereigenschaften des Fahrzeugs beeinträchtigen und im schlimmsten Fall zu einem Kontrollverlust führen.;N/A;Untersuchung und ggf. Austausch der Teile;nur die linke Vorderseite des Fahrzeugs, Elektrofahrzeug.;keine bekannt;236;26
11071;11071/21/512-771.B/011#001;44439;BÖCKMANN;AH4320/35, AH 4320/30, BT-ST 3016/27 U. WEITERE;Aufgrund eines Produktionsfehlers kann es zu einem Druckverlust im Reifen und in der Folge einem möglichen Kontrollverlust kommen.;2021;2021;N/A;Aufgrund eines Produktionsfehlers kann es zu einem Druckverlust im Reifen und in der Folge einem möglichen Kontrollverlust kommen.;N/A;Kontrolle der DOT-Nummer am Reifen und ggf. Tausch des Rades.;N/A;N/A;1163;923
11901;E222115562 (22-C-061) O8F;44810;OPEL;VIVARO;Fehlende Kerbe an der Führungsschiene Kopfstütze;2021;2021;N/A;Eine Kopfstütze der vorderen Beifahrer 2er Sitzbank rastet möglicherweise nicht in der Rückenlehne ein, sofern keine Kerbe an der Führungsschiene vorhanden ist. Eine nicht verriegelte Kopfstütze kann bei einem Aufprall aus dem Vordersitz herausgeschleudert werden, was das Verletzungsrisiko erhöht.;N/A;Kontrolle der Verriegelung und ggf. Austausch der Kopfstützen und deren Führungen.;N/A;N/A;939;114
11910;5891304;44827;MERCEDES-BENZ;C-KLASSE;Fehlende Hinweise in der Bedienungsanleitung zum Offroadverhalten des Fahrzeugs.;2021;2021;N/A;Fehlende Hinweise in der Bedienungsanleitung zum Offroadverhalten des Fahrzeugs.;N/A;Die Betriebsanleitung wird um die fehlenden Informationen ergänzt.;C 200 4MATIC All-Terrain, C 220 d 4MATIC All-Terrain;keine bekannt;27;22
11283;Y67;44518;JEEP;GRAND CHEROKEE;Es kann zu einer Fehlfunktion der Rückfahrkamera kommen.;2020;2021;N/A;Es kann zu einer Fehlfunktion der Rückfahrkamera kommen.;N/A;Die Softwareversion des Radios wird geprüft und ggf. aktualisiert.;Produktionszeitraum: 03. Dezember 2020 bis 13. September 2021 FIN: 1C4RJKDG2M8100468 bis 1C4RJKEG8M8202209;keine;58216;2
11352;2090008;44515;MERCEDES-BENZ;S-KLASSE, C-KLASSE, G-KLASSE, E-KLASSE, CLS, GLC, GLS, GLE;Aufgrund einer Undichtigkeit innerhalb der Kühlmittelpumpe kann es zu erhöhter Brandgefahr kommen.;2017;2021;N/A;Aufgrund einer Undichtigkeit innerhalb der Kühlmittelpumpe kann es zu erhöhter Brandgefahr kommen.;N/A;Softwareupdate und Austausch des elektrischen Umschaltventils.;N/A;N/A;848517;239832
11353;21S45;44548;FORD;FIESTA;Aufgrund eines fehlerhaft verbauten Kabelstrangs kann es zu einem Motorausfall kommen.;2021;2021;N/A;Aufgrund eines fehlerhaft verbauten Kabelstrangs kann es zu einem Motorausfall kommen.;N/A;Befestigung des Kabelstrangclips. Das Kabel des Kurbelwellenpositionssensors muss in die vorgegebene Position an der vorderen Motorabdeckung eingerastet werden.;Nur Motor: 1.0L Eco Boost Produktionszeitraum  vom 20.04.2021 bis 08.09.2021;N/A;2219;498
13126;SB609 (SRAN609);45174;TRIUMPH;TRIDENT, TIGER;Ungenaue Sensordaten auf Grund von Verschmutzung des Sensor-Schlauchs kann dazu führen, dass der Leerlauf instabil ist oder der Motor im Schiebebetrieb ausgeht.;2020;2023;N/A;Ungenaue Sensordaten auf Grund von Verschmutzung des Sensor-Schlauchs kann dazu führen, dass der Leerlauf instabil ist oder der Motor im Schiebebetrieb ausgeht.;N/A;Austausch des MAP-Sensor-Schlauchs.;Nur Trident 660- / Tiger 660-Modelle.;Keine;53542;4541
11914;DAK82;44774;KAWASAKI;KLX230;Montage der falschen Bremsscheibe führt zu verminderter Bremswirkung.;2020;2020;N/A;Montage der falschen Bremsscheibe führt zu verminderter Bremswirkung.;N/A;Die vordere Bremsscheibe wird überprüft und ggf mit den Bremsbelägen ersetzt.;KLX230A;N/A;7709;1
11696;93N4;44650;VW;TIGUAN, T7, PASSAT, GOLF, ARTEON;Fehlerhafte Spezifikation der entsprechenden Sicherung kann im Falle eines Kurzschlusses die Gefahr eines Stromschlags und eines Brandes erhöhen.;2019;2022;N/A;Fehlerhafte Spezifikation der entsprechenden Sicherung kann im Falle eines Kurzschlusses die Gefahr eines Stromschlags und eines Brandes erhöhen.;N/A;An den betroffenen Fahrzeugen wird eine zusätzlich schützende Isoliermatte über den Schaltkasten der Hochvoltbatterie angebracht.;Hybrid;Es ist derzeit 1 Schadenereignis mit Unfallfolge oder Personenschäden bekannt.;42571;25981
10751;54375;44365;SUNLIGHT;CLIFF;Aufgrund der Befestigung des Fahrradträgers am Fahrzeug mit einem zu geringen Anzugsdrehmoment kann es dazu kommen, dass Teile in den Verkehrsraum gelangen.;2020;2021;N/A;Aufgrund der Befestigung des Fahrradträgers am Fahrzeug mit einem zu geringen Anzugsdrehmoment kann es dazu kommen, dass Teile in den Verkehrsraum gelangen.;N/A;Kontrolle des Anzugsdrehmoments;-;-;227;202
11703;10H5;44645;VW;T-ROC, TIGUAN, PASSAT, GOLF, ARTEON;Ungenügende Befestigung der Motor-Designabdeckung kann zur Berührung mit heißen Teilen und in der Folge zum Brand führen.;2020;2022;N/A;Ungenügende Befestigung der Motor-Designabdeckung kann zur Berührung mit heißen Teilen und in der Folge zum Brand führen.;N/A;Design-Motorabdeckung wird entfernt;keine;16 Schadensfälle;58100;31969
12436;HLX;45247;DS;DS4, DS3;Fehlende Warnung vor möglichem Bremskraftverlust / Schlechte Ölqualität;2017;2018;N/A;Fehlende Warnung vor möglichem Bremskraftverlust. Eine schlechte Ölqualität könnte ohne Vorwarnung zu einer Schädigung des Steuerzahnriemens führen, wodurch Partikel dieses Riemens die Vakuumpumpe verstopfen. In der Folge kann die Funktion des Bremskraftverstärkers vermindert sein bzw. entfallen.;N/A;Die Bestandteile des Bremskraftunterstützungssystems, die durch Abrieb des Steuerzahnriemens beschädigt werden könnten, werden überprüft. Am Motorsteuergerät wird eine Software installiert, die den Unterdruck der Bremskraftverstärkung überwacht, damit der Fahrer im Fall eines Abfalls dieses Vakuums durch eine Kontrollleuchte gewarnt wird, um jede Gefahr einer Verringerung oder eines Verlusts der Bremskraftunterstützung auszuschließen.;N/A;Keine bekannt.;17048;1214
12086;0DWR;44783;RENAULT;MASTER;Es kann aufgrund eines fehlerhaften Produktionsprozesses der Kraftstoffzufuhr zu einem Kraftstoffaustritt und in der Folge zu einer erhöhten Brandgefahr kommen.;2022;2022;N/A;Es kann aufgrund eines fehlerhaften Produktionsprozesses der Kraftstoffzufuhr zu einem Kraftstoffaustritt und in der Folge zu einer erhöhten Brandgefahr kommen.;N/A;Austausch der Einspritzrampe und der Versorgungsleitung.;N/A;N/A;127;9
12640;R002;45021;AIWAYS;U5;Der Tacho zeigt sporadisch die Geschwindigkeit verzögert an bzw. es kommt zu Displayausfällen mit Neustart der Anzeige.;2022;2023;N/A;Der Tacho zeigt sporadisch die Geschwindigkeit verzögert an bzw. es kommt zu Displayausfällen mit Neustart der Anzeige.;N/A;Softwareupdate;Elektrofahrzeug;Keine;1576;160
10568;VSXHERMPOS (5497551), VSXHERMPOB (5497555), VSXHERMPOC (5497558);44298;MERCEDES-BENZ;VITO, V-KLASSE, EQV, SPRINTER;Unter Umständen kann es zu einer eingeschränkten Funktion des Notrufsystems kommen.;2013;2021;N/A;Unter Umständen kann es zu einer eingeschränkten Funktion des Notrufsystems kommen.;N/A;Bei den betroffenen Fahrzeugen wird  die Software des Kommunikationsmoduls aktualisiert.;N/A;N/A;613304;226859
13018;KH1;45166;OPEL;ZAFIRA, VIVARO;Fehlerhafte Parameter bzgl. der Ausgabe der IUPR ( In Use Performance Ration);2020;2022;N/A;Aufgrund fehlerhafter Parameter werden gesetzliche Anforderungen bzgl. der Ausgabe der IUPR ( In Use Performance Ration) nicht eingehalten. Weiterhin ist die Kalibrierung der Harnstoffpumpen-Diagnose des Motorsteuergeräts (ECU) fehlerhaft, weshalb im Falle eines Harnstoffüberdruckes keine Warnmeldung im Kombiinstrument angezeigt wird.;N/A;Die Kalibrierung des Motorsteuergeräts (ECU) wird aktualisiert.;N/A;N/A;17391;6024
12714;30D011;45107;HYUNDAI;KONA;Nicht der Spezifikation entsprechende hintere Sicherheitsgurtschlösser können zu eingeschränkter Schutzwirkung führen.;2022;2023;N/A;Nicht der Spezifikation entsprechende hintere Sicherheitsgurtschlösser können zu eingeschränkter Schutzwirkung führen.;N/A;Das hintere Sicherheitsgurtschloss wird geprüft und ggf. ausgetauscht.;N/A;keine bekannt;2532;492
12223;KBT;44846;OPEL;INSIGNIA;Der Ausfall des hydraulischen Bremskraftausgleichs kann zu einem verlängerten Bremsweg führen, weil das elektronische Bremssteuermodul nicht korrekt konfiguriert ist.;2016;2020;N/A;Der Ausfall des hydraulischen Bremskraftausgleichs kann zu einem verlängerten Bremsweg führen, weil das elektronische Bremssteuermodul nicht korrekt konfiguriert ist.;N/A;Das elektronische Bremssteuermodul (EBCM) wird neu programmiert.;N/A;keine bekannt;194032;66966
11077;2092013;44453;MERCEDES-BENZ;GLE, C-KLASSE, GLC, E-KLASSE;Es kann infolge einer Motorüberhitzung dazu kommen, dass Motoröl in den Verkehrsraum gelangt.;2018;2021;N/A;Es kann infolge einer Motorüberhitzung dazu kommen, dass Motoröl in den Verkehrsraum gelangt.;N/A;Der Keilrippenriemen wird überprüft und ggf. ersetzt sowie der Riemenspanner getauscht..;Nur Hybridfahrzeuge der C-Klasse (BR 205), E-Klasse (BR 213), GLC (BR 253) und GLE (BR 167).;N/A;2407;914
