Type of alert;Type;Alert number;Alert submitted by;Country of origin;Counterfeit;Risk type;Risk legal provision;Product;Name;Description;Brand;Category;Type / number of model;OECD Portal category;Risk;Compulsory measures;Voluntary measures;Products were found and measures were taken also in;Company recall page;Barcode;Batch number;Company recall code (**);Production dates (**);Packaging description
Serious risk;Professional;A12/02487/24;Germany;Austria;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Truck opening system ;Wingliner Model Classic ;Opening and closing system for heavy goods vehicle superstructures.;Wingliner;Motor vehicles;;77000000 - Automotive;The lower aluminium board wall of the Wingliner system may become detached by external force, possibly also by the presence of low-quality rivets. This causes a risk of injury.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";;;;;0001;1/01/2023 - 1/06/2024;
Serious risk;Consumer;A12/02466/24;Germany;Germany;No;Fire;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;X5, X6, X7, 7, 8, M340;Passenger car.;BMW.;Motor vehicles;;77000000 - Automotive;The software-based overload protection function cannot sufficiently prevent the starter being overloaded in the event of repeated long start-up attempts. The starter may overheat or sparks may be produced as a result of an increased current flow. This increases the risk of a fire.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, France, Croatia, Hungary, Luxembourg, Norway, Portugal, Sweden;https://www.bmw.de/rueckruf;;;0012230600;01.08.2018 - 31.05.2020;
Serious risk;Consumer;A12/02538/24;Germany;Germany;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of two- or three-wheel vehicles and quadricycles.;Motorcycle side boxes;Original Sonderzubehör Variokoffer / Original Side Accessory Variocase;Motorcycle side panniers. Motorcycle model: R 1300 GS.;BMW Motorrad;Motor vehicles;;77000000 - Automotive;The mounted side boxes may not be fastened and locked correctly, and objects can fall onto the road whilst driving, posing a risk to the following traffic.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, France, Croatia, Hungary, Ireland, Luxembourg, Norway, Slovenia;;;;0000770600;07.06.2023 - 17.06.2024;
Serious risk;Consumer;A12/02531/24;Germany;Germany;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of two- or three-wheel vehicles and quadricycles.;Motorcycle side-case carrier;Original Sonderzubehör Seitentaschenhalter / Original Side Accessory Pocket Holder ;Motorcycle side-case carrier.;BMW Motorrad;Motor vehicles;77 49 5A6B236;77000000 - Automotive;The mounting kit for the side-case carrier contains screws that are too short. The carrier can detach from the motorcycle’s rear frame and fall onto the road, increasing the risk of accidents and injuries for other road users.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";;;;;0000770500;10.09.2023 - 28.05.2024;
Serious risk;Consumer;A12/02710/24;Germany;Japan;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of two- or three-wheel vehicles and quadricycles.;Motorcycle;V-Strom 800DE (DL800, DL800U);"Motorcycle fitted with Dunlop Trailmax Mixtour B tyres with the following tube type specification ""150/70R17 M/C 69H"". The tyre is only available with the motorcycle named V-Strom (DL800DE M3, M4) when fitted as original equipment (the tyre is not available in the open market).";Suzuki;Motor vehicles;e6*168/2013*00135*00 (WEM1), e6*168/2013*00137*00 (WEM0);77000000 - Automotive;The rear tyre can have cracks or other deformations in the tyre tread. Parts of the tread can detach from the rest of the tyre. This can lead the tyres to lose their shape and result in a loss of vehicle control while driving, increasing the risk of accidents and injuries.;;"Type of economic operator taking notified measure(s): Importer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Estonia, France, Croatia, Hungary, Ireland, Luxembourg, Norway, Sweden, Slovenia;https://motorrad.suzuki.de/informationen-und-service/offene-rueckrufaktionen;;;97JR;11.2022 - 05.2024;
Serious risk;Consumer;A12/02711/24;France;France;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car/ Light commercial vehicle;Proace City, Proace City Verso;"Passenger car / Light commercial vehicle.
- Model Name (Model Code): Proace City (BPZ), Proace City Verso (BKY);

- Model (VDS/VIS Range): Proace City (EUHNP2 / GJ013501), Proace City Verso (ERHNP2 / GJ012904 ~ GJ022607), Proace City Verso (ERHNS3 / GJ002108 ~ GJ999876)

- Model Year: 2022.";Toyota;Motor vehicles;e2*2007/46*0685*09, e2*2007/46*0685*12, e2*2007/46*0685*13;77000000 - Automotive;Due to a problem during the pre-moulding vulcanisation process, the timing belt can deteriorate and cause the engine to stall while driving or failing to start, creating a risk of accidents and injuries to vehicle occupants.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 28/08/2024";Iceland, Poland, Portugal, Slovenia;;;;CI24-041;15.06.2022 - 27.12.2022;
Serious risk;Consumer;A12/02712/24;Germany;United States;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;X3, X3M;Passenger car.;Bmw;Motor vehicles;e1*2007/46*1797* (G3X), e1*2007/46*1988* (F34XM);77000000 - Automotive;Due to faulty rear-most screws, the screw fixings of the boot's lashing rails can fail in the event of a rear-end collision with heavy intrusion, and penetrate the backs of the rear seats. This increases the risk of injury to the occupants of the rear seats.;;"Type of economic operator taking notified measure(s): Other
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, France, Croatia, Hungary, Ireland, Luxembourg, Norway, Poland, Portugal, Sweden, Slovenia;https://www.bmw.de/rueckruf;;;0051960500;21.12.2016 - 27.06.2024;
Serious risk;Consumer;A12/02575/24;Germany;Poland;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger van / Light commercial vehicle;Caddy Maxi;Passenger van / Light commercial vehicle.;VW;Motor vehicles;SKN, e13*2018/858*00003*;77000000 - Automotive;Due to the incorrect screwing of the rear left brake line, a leak can occur where the brake hose is attached, leading to a slow loss of brake fluid. Braking performance can be affected, increasing the risk of accidents and injuries.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Sweden;;;;47U9;13.05.2024 - 19.06.2024;
Serious risk;Consumer;A12/02762/24;Germany;Poland;No;Fire;The product does not comply with the requirements laid down in the Regulation on the approval and market surveillance of agricultural and forestry vehicles.;All-terrain vehicle;Sportsman 850, Sportsman XP 1000, Sportsman XP 1000 S;Four-wheeled all-terrain vehicle.;Polaris;Motor vehicles;individual approval;77000000 - Automotive;Water or other contaminants can accumulate on the fuel pump flange, where it can damage the pump flange, which can result in a fuel leak.  A leak at the fuel pump’s flange outlet can lead to a risk of fire.;;"Type of economic operator taking notified measure(s): Importer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, Croatia, Norway, Sweden, Slovenia;https://www.polaris.com/en-us/off-road-recalls/;;;A-24-04;28.06.2023 - 01.07.2024;
Serious risk;Consumer;A12/02573/24;Germany;Germany;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;1, 2, 2 Active Tourer/Gran Tourer, 3, 3 Saloon/Touring/GT, 4, 5, 5 Gran Turismo, 6, X1, X3, X5, X6;Passenger cars, retrofitted with Takata Airbag by conversion of the steering wheel to “Sport” or “M Sport”.;Bmw;Motor vehicles;1C, 1K2, 1K4, 3-V, 390L, 3C, 3K, 3K-N1, 3L, 5K, 5L, 6C, F1X, F2AT, F2GT, GT, K-N1, UKL-L, X-N1, X1, X1-N1, X3, X5, X6, X83, e1*2001/116*0249*, e1*2001/116*0308*, e1*2007/46*0215*, e1*2007/46*0273*, e1*2007/46*0273*04, e1*2007/46*0275*, e1*2007/46*0277*08, e1*2007/46*0283*, e1*2007/46*0314*, e1*2007/46*0315*, e1*2007/46*0316*08-*10, e1*2007/46*0363*, e1*2007/46*0371*13, e1*2007/46*0371*19, e1*2007/46*0412*08, e1*2007/46*0421*10, e1*2007/46*0454*05, *13, e1*2007/46*0454*11, e1*2007/46*0455*, e1*2007/46*0508*02, e1*2007/46*0512*00, *13, e1*2007/46*0559*, e1*2007/46*0562*, e1*2007/46*1675*00, e1*2007/46*1676*00, e1*2007/46*1677*00, e24*2007/46*0022*, e24*2007/46*0022*03, *05, e24*2007/46*0024*, individual approval;77000000 - Automotive;The propellant in the driver airbag may deteriorate over time. If the airbags deploy, it could result in fragments from the inflator injuring the vehicle's occupants.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, France, Croatia, Hungary, Ireland, Luxembourg, Norway, Poland, Portugal, Sweden, Slovenia;https://www.bmw.de/rueckrufe;;;"0032550300
0032560300
0032570300
0032580300";13.03.2003 - 20.06.2018;
Serious risk;Consumer;A12/02626/24;Germany;Germany;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;"2, M2, 3							";Passenger car.;Bmw;Motor vehicles;G2C, G2M, G3L, e1*2007/46*1947*, e1*2018/858*00123*, e1*2018/858*00211*;77000000 - Automotive;A manufacturing defect in the passenger airbag can cause pressure loss when it's activated. This can lead to improper deployment, thereby impairing the airbag's restraining effect. This increases the risk of injuries in the event of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Hungary, Poland;https://www.bmw.de/rueckrufe;;;0072660200;16.07.2024 - 25.07.2024;
Serious risk;Consumer;A12/02600/24;Germany;The Netherlands;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Bicycle carrier;XM290, X290-Light;Bicycle carrier for motor vehicles.;Busbiker;Motor vehicles;E13*26R03/04*8611*01;77000000 - Automotive;The U-bracket of the bicycle carrier may break off at the point where it enters the cast aluminium block. If it happens while the vehicle is in motion, it can fall and cause an accident and injuries to other road users.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark;https://www.busbiker.com/de/check-service-aktionen;;;R0221;01.11.2020 - 01.10.2021;
Serious risk;Consumer;A12/02637/24;Germany;Germany;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;E-tron;Passenger car.;Audi;Motor vehicles;GE, e1*2007/46*1914*;77000000 - Automotive;Due to a problem with the screw connection, the push rod linking the brake pedal and brake booster may become disconnected, causing the foot brake to malfunction. This can result in the loss of vehicle control, increasing the risk of accidents and injuries.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, France, Croatia, Hungary, Ireland, Norway, Poland, Sweden, Slovenia, Slovakia;;;;46P6;23.05.2019 - 10.12.2019;
Serious risk;Consumer;A12/02681/24;Germany;United Kingdom;No;Fire;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Cooper;Passenger car.;Mini;Motor vehicles;FML2E, e1*2007/46*2063*;77000000 - Automotive;The high-voltage battery can short-circuit, causing the battery to overheat and the vehicle to catch fire, even when it is parked.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, France, Croatia, Hungary, Ireland, Luxembourg, Norway, Poland, Portugal, Sweden, Slovenia;https://www.bmw.de/rueckrufe;;;0061750800;27.11.2018 - 25.01.2024;
Serious risk;Consumer;A12/02682/24;Germany;United Kingdom;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Range Rover Sport, Range Rover;Passenger car.;Land Rover;Motor vehicles;L1, LK, e9*2018/858*11120*03, e9*2018/858*11229*02;77000000 - Automotive;Due to brackets connecting the engine-mounted oil cooler lines not being properly screwed into their threads, the oil cooler hose may become loose or detach, causing engine oil to spill onto the road. This creates slippery sections, increasing the risk of accidents and injuries, especially for two-wheeled vehicles.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";France, Hungary, Luxembourg, Poland;;;;N845;04.09.2023 - 23.10.2023;
Other risk levels;Consumer;A11/00118/24;Luxembourg;Luxembourg;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Vehicle parts / Car tyres;EAGLE F1 SUPERSPORT 295/30ZR22 (103Y) and 315/30ZR22 (107Y);Car tyres. Model / DOT number on the sidewall of the tyre: 1L1K8 JB1R / 1224, 1L1HA JC1R / 1224. Product sold online.;Goodyear;Motor vehicles;;77000000 - Automotive;A manufacturing error can lead to tread deformation or crown separation of the tyre when driving at high speed, causing a loss of vehicle's control and injuries.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Germany, France, Slovenia;;;;;18.03.2024 - 24.03.2024;
Serious risk;Consumer;A12/02703/24;Germany;Germany;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car / Light commercial vehicle;Eos, Golf, Golf Variant, Passat, Polo, Sharan, Tiguan, T6, Crafter, Passat CC, Transporter;Passenger car / Light commercial vehicle, equipped with Takata airbags.;VW;Motor vehicles;1F, 2EC1, 2EC2, 2EKE1, 2EKE2, 2EKZ, 2FJE1, 2FJE2, 2FJZ, 3CC, 5N, 6R, 7J0, 7N, AU, AUV, SYN1E, SYN1Z, SYN2E, SYN2Z, SZN1E, SZN1Z, SZN2E, SZN2Z, e1*2001/116*0307*, e1*2001/116*0349*, e1*2001/116*0355*, e1*2001/116*0356*, e1*2001/116*0450*, e1*2001/116*0468*, e1*2001/116*0510*, e1*2007/46*0130*, e1*2007/46*0401*, e1*2007/46*0513*, e1*2007/46*0514*, e1*2007/46*0515*, e1*2007/46*0516*, e1*2007/46*0518*, e1*2007/46*0519*, e1*2007/46*0520*, e1*2007/46*0521*, e1*2007/46*0522*, e1*2007/46*0523*, e1*2007/46*0524*, e1*2007/46*0525*, e1*2007/46*0623*, e1*2007/46*0627*, e1*2007/46*1613*, e1*2007/46*1614*, e1*2007/46*1615*, e1*2007/46*1616*, e1*2007/46*1619*, e1*2007/46*1620*, e1*2007/46*1621*, e1*2007/46*1622*;77000000 - Automotive;The propellant in the driver airbag may deteriorate over time. If the airbags deploy, it can result in fragments from the inflator injuring the vehicle's occupants.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Estonia, Croatia, Hungary, Iceland, Norway, Sweden, Slovenia, Slovakia;;;;69EJ;2006 - 2017;
Serious risk;Consumer;A12/02686/24;Germany;Brazil;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Passat, Fox, Up!;Passenger car, equipped with Takata airbags.;VW;Motor vehicles;3CC, 5Z, AA, e1*2001/116*0301*, e1*2001/116*0468*, e13*2007/46*1167*;77000000 - Automotive;The propellant in the driver airbag may deteriorate over time. If the airbags deploy, it could result in fragments from the inflator injuring the vehicle's occupants.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Estonia, Croatia, Hungary, Ireland, Norway, Sweden, Slovenia, Slovakia;;;;69EJ;01.08.2006 - 21.05.2014;
Serious risk;Professional;A12/02718/24;Germany;Republic of Korea;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Lorry;"Xcient FCEV							";Heavy goods vehicle;Hyundai;Motor vehicles;QZH2-4X2, QZH2-6X2, e9*2018/858*11092*01,*04, e9*2018/858*11093*01-*04;77000000 - Automotive;The steering box and the Pitman arm may be incorrectly assembled. This can cause play in the steering and a possible steering failure.;;"Type of economic operator taking notified measure(s): Importer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";;;;;"HRE24-61-P021							";20.5.2021 - 8.2.2024;
Serious risk;Consumer;A12/02725/24;France;France;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;DS3 Crossback;Passenger car.;Citroen & DS;Motor vehicles;e2*2007/46*0639*30, e2*2007/46*0639*31;77000000 - Automotive;A crack located inside the Electric Power Steering motor of the steering rack can cause plastic parts to detach from the worm wheel. This can lead to a steering blockage, increasing the risk of accidents and injuries.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 11/09/2024";Germany, Ireland, Portugal;;;;NB6;09.04.2024 - 17.05.2024;
Serious risk;Consumer;A12/02732/24;France;Italy;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;600;Passenger car.;Fiat;Motor vehicles;e3*2018/858*00078*04*00 (600 BEV), e3*2018/858*00078*05*00 (600);77000000 - Automotive;A crack located inside the Electric Power Steering motor of the steering rack can cause plastic parts to detach from the worm wheel. This can lead to a steering blockage, increasing the risk of accidents and injuries.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 11/09/2024";Germany;;;;6847;"05.04.2024 - 09.05.2024 (600 BEV)
08.04.2024 - 25.04.2024 (600)";
Serious risk;Consumer;A12/02726/24;France;France;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Corsa, Mokka;Passenger car.;Opel/Vauxhall;Motor vehicles;e2*2007/46*0639*30 (Corsa and Mokka), e2*2007/46*0639*31 (Corsa and Mokka), e2*2007/46*0639*32 (Mokka);77000000 - Automotive;A crack located inside the Electric Power Steering motor of the steering rack can cause plastic parts to detach from the worm wheel. This can lead to a steering blockage, increasing the risk of accidents and injuries.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 11/09/2024";Bulgaria, Germany, Denmark, Croatia, Hungary, Ireland, Iceland, Luxembourg, Norway, Poland, Portugal, Sweden, Slovenia, Slovakia;;;;KMZ;"09.04.2024 - 18.05.2024 (Mokka)
From 11/4/2024 to 6/5/2024 (Corsa)";
Serious risk;Consumer;A12/02727/24;France;France;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;208 II;Passenger car.;Peugeot;Motor vehicles;e2*2007/46*0639*30, e2*2007/46*0639*31;77000000 - Automotive;A crack located inside the Electric Power Steering motor of the steering rack can cause plastic parts to detach from the worm wheel. This can lead to a steering blockage, increasing the risk of accidents and injuries.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 11/09/2024";Germany, Denmark, Slovenia, Slovakia;;;;MR8;12.04.2024 - 05.06.2024;
Serious risk;Consumer;A12/02738/24;Germany;United States;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of two- or three-wheel vehicles and quadricycles.;Motorcycle;S2 Del Mar;Motorcycle.;LiveWire;Motor vehicles;e9*168/2013*16056*03 (S2E1);77000000 - Automotive;In case of repeated acceleration, the high voltage fuse can open, resulting in an unexpected loss of power transmission while moving and no possibility to restart. This increases the risk of accident and injuries.;;"Type of economic operator taking notified measure(s): Importer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";;https://www.harley-davidson.com/us/en/tools/service-recalls.html;;;1003;28.04.2023 - 20.06.2024;
Serious risk;Consumer;A12/02737/24;Germany;United States;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;XD3;Passenger car.;BMW ALPINA;Motor vehicles;ALPINA G01, e1*KS07/46*0069*;77000000 - Automotive;Due to faulty rear-most screws, the screw fixings of the boot's lashing rails can fail in the event of a rear-end collision with heavy intrusion and penetrate the backs of the rear seats. This increases the risk of injury to the occupants of the rear seats.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Luxembourg, Portugal, Sweden;;;;0051960500;01.08.2018 - 30.05.2024;
Serious risk;Consumer;A12/02729/24;Germany;France;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger van / Light commercial vehicle;Jumpy Spacetourer, Jumpy;Passenger van / Light commercial vehicle.;CITROEN;Motor vehicles;e2*2007/46*0530*21 (V), e2*2007/46*0531*26 (V) ;77000000 - Automotive;Incorrectly fitted rear axle suspension springs can lead to a loss of vehicle handling and the spring may come free from its support. The spring can fall onto the road whilst driving, posing a risk of accident and injuries to the following traffic.;;"Type of economic operator taking notified measure(s): Other
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, France, Ireland, Malta, Norway, Poland, Sweden;;;;ND7;18.10.2023 - 28.06.2024;
Serious risk;Consumer;A12/02736/24;Germany;France;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger van / Light commercial vehicle;Expert Traveller, Expert;Passenger van / Light commercial vehicle.;Peugeot;Motor vehicles;e2*2007/46*0532*21 (V), e2*2007/46*0533*26 (V);77000000 - Automotive;Incorrectly fitted rear axle suspension springs can lead to a loss of vehicle handling and the spring may come free from its support. The spring can fall onto the road whilst driving, posing a risk of accident and injuries to the following traffic.;;"Type of economic operator taking notified measure(s): Other
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Denmark, France, Ireland, Norway, Portugal, Sweden;;;;MSQ;19.02.2024 - 28.06.2024;
Serious risk;Consumer;A12/02731/24;Germany;United States;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;RAM 2500, RAM 3500, DURANGO;Passenger car.;Dodge;Motor vehicles;DF, DJ, WD, individual approval;77000000 - Automotive;Software failure of the Anti-lock Braking System (ABS) can deactivate the Electronic Stability Control (ESC). Failure of the ESC system can cause a loss of vehicle's control, increasing the risk of accidents and injuries.;;"Type of economic operator taking notified measure(s): Importer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";;;;;55B;09.04.2021 - 09.12.2022;
Serious risk;Consumer;A12/03224/24;Poland;Italy;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Compass PHEV, Renegade PHEV;Plug-in hybrid electric passenger car.;Jeep;Motor vehicles;e3*2007/46*0300*36, e3*2007/46*0300*44, e3*2007/46*0508*12, e3*2007/46*0508*14, e3*2007/46*0508*18, e3*2007/46*0508*20;77000000 - Automotive;The electrical cable connection to the vehicle's Integrated Dual Charge Module (IDCM) may not be tightened to the correct torque. This can result in the 12-volt battery not being charged, which can cause the vehicle to shut down unexpectedly, thereby increasing the risk of an accident and injuries.;;"Type of economic operator taking notified measure(s): Distributor
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Germany, France, Hungary, Iceland, Luxembourg, Slovenia, Slovakia;;;;74B;09.11.2021 - 07.05.2024;
Serious risk;Consumer;A12/02735/24;Portugal;Sweden;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Polestar 2;"Model (Type): Polestar 2 (534).
Chassis: from 0240527 to 0312963.
Model year: 2024 - 2025.";Polestar;Motor vehicles;e9*2018/858*11085;77000000 - Automotive;One of the bolts holding the front left seat can be improperly fitted. This can increase the risk of injuries, in the event of a crash.;;"Type of economic operator taking notified measure(s): Distributor
Category of measure(s): Recall of the product from end users
Date of entry into force: 01/07/2024";;;;;RP1027;;
Serious risk;Consumer;A12/02870/24;Poland;Republic of Korea;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Santa Fe MX5;Passenger car.;Hyundai;Motor vehicles;e4*2018/858*00188*00;77000000 - Automotive;The wiring harness mounted under the bench seat can be damaged by being pinched by the seat hinge when it is folded down. This can lead the curtain airbag not to work, increasing the risk of injuries in the event of an accident.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, Denmark, Croatia, Hungary, Ireland, Portugal, Slovenia;;;;41D130;14.03.2024 - 04.07.2024;
Serious risk;Consumer;A12/02730/24;Germany;Poland;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Caddy;Passenger car.;VW;Motor vehicles;SK, e13*2018/858*00002*;77000000 - Automotive;Leaks can occur where the brake hose is attached because the rear left brake line is improperly screwed. A leak may lead to a slow loss of brake fluid, affecting the braking performance, increasing the risk of accidents and injuries.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, France, Croatia, Hungary, Ireland, Sweden, Slovenia, Slovakia;;;;47VX;06.08.2024 - 09.08.2024;
Serious risk;Consumer;A12/02768/24;Portugal;Republic of Korea;No;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;Picanto, Stonic;Passenger car equipped with Kappa 1.0 and 1.2 MPI engines. Model (Type): Picanto (JA) Stonic (YB CUV). Model Year: 2023 ~ 2024.;Kia;Motor vehicles;e5*2007/46*1077*11 - e5*2007/46*1078*08;77000000 - Automotive;A short circuit inside the exhaust gas circulation valve can occur, causing the engine to stall before the warning light is on. This increases the risk of accidents and injuries.;;"Type of economic operator taking notified measure(s): Importer
Category of measure(s): Recall of the product from end users
Date of entry into force: Unknown";Bulgaria, France, Croatia, Hungary, Ireland, Iceland, Luxembourg, Poland, Sweden, Slovenia, Slovakia;;;;241099;11/01/2024 - 14/02/2024;
Serious risk;Consumer;A12/02776/24;Spain;France;Unknown;Injuries;The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.;Passenger car;LEÓN, ALHAMBRA, ALTEA, TOLEDO;Passenger cars, equipped with Takata airbags.;Seat;Motor vehicles;1P, 5P, 7N, NH, e1*2007/46*0402* - e1*2007/46*0435*, e11*2007/46*0251*, e9*2001/116*0050* - e9*2007/46*0012*, e9*2001/116*0052* - e9*2007/46*0013*;77000000 - Automotive;The propellant in the driver airbag may deteriorate over time. If the airbags deploy, it could result in fragments from the inflator injuring the vehicle's occupants.;;"Type of economic operator taking notified measure(s): Manufacturer
Category of measure(s): Recall of the product from end users
Date of entry into force: 12/07/2024";Bulgaria, France, Hungary, Malta, Sweden, Slovenia, Slovakia;;;;69FT (MY13_Z2);29.06.2012 - 02.08.2013;
